date,hour,forecast_load_mw
2024-06-07,6,28772
2024-06-07,7,30265
2024-06-07,8,31365
2024-06-07,9,32275
2024-06-07,10,33356
2024-06-07,11,34317
2024-06-07,12,35248
2024-06-07,13,36161
2024-06-07,14,36902
2024-06-07,15,37600
2024-06-07,16,38247
2024-06-07,17,38141
2024-06-07,18,37238
2024-06-07,19,36109
2024-06-07,20,34826
2024-06-07,21,33321
2024-06-07,22,31109
2024-06-07,23,28715
2024-06-08,0,26728
2024-06-08,1,25151
2024-06-08,2,23997
2024-06-08,3,23289
2024-06-08,4,22891
2024-06-08,5,23029
2024-06-08,6,23463
2024-06-08,7,24375
2024-06-08,8,25635
2024-06-08,9,26869
2024-06-08,10,27698
2024-06-08,11,28669
2024-06-08,12,29550
2024-06-08,13,30389
2024-06-08,14,31410
2024-06-08,15,32675
2024-06-08,16,34034
2024-06-08,17,35063
2024-06-08,18,35137
2024-06-08,19,34291
2024-06-08,20,33148
2024-06-08,21,31860
2024-06-08,22,29848
2024-06-08,23,27583
2024-06-09,0,25719
2024-06-09,1,24252
2024-06-09,2,23231
2024-06-09,3,22514
2024-06-09,4,22242
2024-06-09,5,22206
2024-06-09,6,22478
2024-06-09,7,23314
2024-06-09,8,24672
2024-06-09,9,26024
2024-06-09,10,27371
2024-06-09,11,28672
2024-06-09,12,29789
2024-06-09,13,30836
2024-06-09,14,31911
2024-06-09,15,33111
2024-06-09,16,34106
2024-06-09,17,35027
2024-06-09,18,35111
2024-06-09,19,34447
2024-06-09,20,33629
2024-06-09,21,32463
2024-06-09,22,30154
2024-06-09,23,27839
2024-06-10,0,25269
2024-06-10,1,23838
2024-06-10,2,22999
2024-06-10,3,22566
2024-06-10,4,22773
2024-06-10,5,23899
2024-06-10,6,25852
2024-06-10,7,27789
2024-06-10,8,28475
2024-06-10,9,28782
2024-06-10,10,29211
2024-06-10,11,29728
2024-06-10,12,30168
2024-06-10,13,30779
2024-06-10,14,31383
2024-06-10,15,32189
2024-06-10,16,33338
2024-06-10,17,34143
2024-06-10,18,33991
2024-06-10,19,33407
2024-06-10,20,32333
2024-06-10,21,31103
2024-06-10,22,28742
2024-06-10,23,26289
2024-06-11,0,24878
2024-06-11,1,23525
2024-06-11,2,22720
2024-06-11,3,22286
2024-06-11,4,22571
2024-06-11,5,23604
2024-06-11,6,25550
2024-06-11,7,27233
2024-06-11,8,28158
2024-06-11,9,28790
2024-06-11,10,29246
2024-06-11,11,29733
2024-06-11,12,30287
2024-06-11,13,30994
2024-06-11,14,31702
2024-06-11,15,32602
2024-06-11,16,33527
2024-06-11,17,34398
2024-06-11,18,34274
2024-06-11,19,33630
2024-06-11,20,32529
2024-06-11,21,31317
2024-06-11,22,29038
2024-06-11,23,26650
2024-06-12,0,24646
2024-06-12,1,23371
2024-06-12,2,22547
2024-06-12,3,22164
2024-06-12,4,22394
2024-06-12,5,23415
2024-06-12,6,25262
2024-06-12,7,26979
2024-06-12,8,28058
2024-06-12,9,28835
2024-06-12,10,29721
2024-06-12,11,30778
2024-06-12,12,31888
2024-06-12,13,32992
2024-06-12,14,34059
2024-06-12,15,35374
2024-06-12,16,36557
2024-06-12,17,37402
2024-06-12,18,37298
2024-06-12,19,36424
2024-06-12,20,35445
2024-06-12,21,33971
2024-06-12,22,31288
2024-06-12,23,28551
2024-06-13,0,27297
2024-06-13,1,25727
2024-06-13,2,24549
2024-06-13,3,23970
2024-06-13,4,24020
2024-06-13,5,25053
2024-06-13,6,26706
2024-06-13,7,28933
2024-06-13,8,30871
2024-06-13,9,32296
2024-06-13,10,33886
2024-06-13,11,35718
2024-06-13,12,37667
2024-06-13,13,39368
2024-06-13,14,40986
2024-06-13,15,42496
2024-06-13,16,43589
2024-06-13,17,44482
2024-06-13,18,43970
2024-06-13,19,42210
2024-06-13,20,40452
2024-06-13,21,38822
2024-06-13,22,36057
2024-06-13,23,32775
2024-06-14,0,29829
2024-06-14,1,28084
2024-06-14,2,26800
2024-06-14,3,26039
2024-06-14,4,25994
